Date,City,Property_Price,Occupancy_Rate,Inflation_Rate,Population_Age_65+,Population_Age_65_Growth,Median_Age,Income_Level,Proximity_to_Healthcare,Walkability_Score,Crime_Rate,Property_Tax_Rate,Public_Transport_Access,Government_Incentives,Environmental_Quality,Senior_Living_Vacancy_Rate,Mental_Health_Programs,Memory_Care_Availability
2010-01-01,Toronto,949671,88,2.8,48617,0.97,42,83688,1,89,8,1,0,0,72.1696897183815,10.247564316322379,1,0
2010-02-01,Toronto,976743,85,1.42,40920,1.87,48,38815,3,71,6,1,1,0,62.60206371941118,14.488855372533333,1,1
2010-03-01,Toronto,839936,87,2.32,47083,0.87,45,72338,4,71,6,1,1,1,97.57995766256757,13.948273504276488,1,1
2010-04-01,Toronto,777916,72,1.59,48844,1.67,43,55483,8,64,4,2,0,1,62.98202574719083,14.868869366005173,1,0
2010-05-01,Toronto,1003100,89,1.22,59313,1.58,41,64969,4,53,4,1,1,1,95.48850970305307,9.722149251619493,0,1
2010-06-01,Toronto,997555,89,2.68,49642,2.07,44,83470,1,54,1,2,1,1,96.30265895704372,7.49292229148875,1,1
2010-07-01,Toronto,819151,93,3.42,44982,2.4,49,52054,9,72,8,2,1,0,69.11740650167766,9.271077886262564,1,1
2010-08-01,Toronto,951327,70,2.53,35846,0.86,43,53690,9,63,6,2,1,1,98.49789179768445,7.5178229582536416,1,1
2010-09-01,Toronto,906023,71,1.84,74632,3.22,42,59479,10,60,7,2,0,1,74.71132530877013,11.323058305935795,1,1
2010-10-01,Toronto,783132,72,3.51,40095,0.62,46,51506,7,51,6,1,1,0,87.63750952409865,8.867353463005374,1,0
2010-11-01,Toronto,821675,93,3.63,46779,1.27,47,63412,6,60,2,2,1,1,73.56119164194803,8.492095746126608,1,1
2010-12-01,Toronto,1030714,92,3.34,43200,0.98,49,63484,6,50,2,2,0,0,81.94935157466344,11.918951976926932,1,0
2011-01-01,Toronto,802532,78,3.24,57871,2.45,48,72331,2,65,3,1,1,0,95.68186220708454,11.311386259972629,1,1
2011-02-01,Toronto,1089679,84,2.48,56257,1.34,40,47143,7,57,9,2,1,0,60.6182646611547,14.283185625877254,1,1
2011-03-01,Toronto,815321,91,1.95,34852,1.01,46,62598,6,54,7,2,0,1,95.09492287711822,12.407686177542043,1,1
2011-04-01,Toronto,938532,79,1.88,55150,3.1,49,67707,6,70,8,2,1,1,95.60021367270265,8.379951568515358,0,0
2011-05-01,Toronto,851464,82,2.63,50819,1.36,46,52921,2,71,8,1,1,0,62.067268846744305,10.31354631568148,1,1
2011-06-01,Toronto,1008895,88,3.93,29749,2.89,43,62797,5,53,1,2,1,1,76.3581177765708,6.7329432007084575,0,0
